연번	어휘		
463	등산하다		
464	등산화		
465	디자인		
466	따다		
467	따뜻하다		
468	따라가다		
469	따라오다		
470	따로		
471	딱		
472	딱딱하다		
473	딸		
474	딸기		
475	땀		
476	때		
477	때문		
478	떠나다		
479	떠들다		
480	떡		
481	떡국		
482	떡볶이		
483	떨리다		
484	떨어뜨리다		
485	떨어지다		
486	또		
487	또는		
488	똑같다		
489	똑똑하다		
490	똑바로		
491	뚱뚱하다		
492	뛰다		
493	뛰어가다		
494	뜨겁다		
495	뜻		
496	라디오		
497	라면		
498	러시아		
499	로션		
500	리포트		
501	마늘		
502	마라톤		
503	마루		
504	마르다		
505	마리		
506	마시다		
507	마을		
508	마음		
509	마음대로		
510	마지막		
511	마치다		
512	마침		
513	마침내		
514	만나다		
515	만두		
516	만들다		
517	만약		
518	만지다		
519	만화		
520	많다		
521	많이		
522	말		
523	말리다		
524	말씀		
525	말하기		
526	말하다		
527	맑다		
528	맛		
529	맛없다		
530	맛있다		
531	맞다		
532	맞은편		
533	매우		
534	매일		
535	매점		
536	매주		
537	맥주		
538	맵다		
539	머리		
540	머리카락		
541	먹다		
542	먼저		
543	멀다		
544	멋있다		
545	멋지다		
546	메뉴		
547	메모		
548	메모하다		
549	메시지		
550	멕시코		
551	며칠		
552	면도		
553	면접		
554	명		
555	명랑하다		
556	명절		
557	몇		
558	모델		
559	모두		
560	모든		
561	모레		
562	모르다		
563	모습		
564	모시다		
565	모양		
566	모으다		
567	모임		
568	모자		
569	목		
570	목걸이		
571	목도리		
572	목소리		
573	목요일		
574	목욕탕		
575	목욕하다		
576	몸		
577	몸무게		
578	몸살		
579	못		
580	못하다		
581	몽골		
582	무겁다		
583	무궁화		
584	무늬		
585	무료		
586	무릎		
587	무섭다		
588	무슨		
589	무엇(뭐/뭘)		
590	무역		
591	무역회사		
592	문		
593	문구점		
594	문법		
595	문의		
596	메시지		
597	문장		
598	문제		
599	문화		
600	묻다		
601	물		
602	물가		
603	물건		
604	물냉면		
605	물어보다		
606	미국		
607	미끄러지다		
608	미래		
609	미리		
610	미술		
611	미술관		
612	미안하다		
613	미용실		
614	미터		
615	민박		
616	믿다		
617	밀가루		
618	밀리미터		
619	밑		
620	바꾸다		
621	바나나		
622	바늘		
623	바다		
624	바닥		
625	바닷가		
626	바라다		
627	바람		
628	바로		
629	바르다		
630	바쁘다		
631	바이올린		
632	바지		
633	박(1박2일)		
634	박물관		
635	박수		
636	밖		
637	반(절반)		
638	반(교실)		
639	반갑다		
640	반대		
641	반드시		
642	반바지		
643	반장		
644	반지		
645	반찬		
646	받다		
647	발		
648	발가락		
649	발견하다		
650	발표		
651	발표하다		
652	밝다		
653	밟다		
654	밤		
655	밥		
656	밥그릇		
657	방		
658	방문		
659	방법		
660	방학		
661	배01		
662	배02		
